,Account Length,Area Code,Churn?,CustServ Calls,Day Calls,Day Charge,Day Mins,Eve Calls,Eve Charge,Eve Mins,Int'l Plan,Intl Calls,Intl Charge,Intl Mins,Night Calls,Night Charge,Night Mins,Phone,State,VMail Message,VMail Plan
72,90,415,False.,1,146,34.580000,203.400000,117,19.270000,226.700000,no,4,1.970000,7.300000,105,6.860000,152.400000,399-4246,NV,0,no
73,85,415,False.,0,109,40.090000,235.800000,94,13.360000,157.200000,no,3,3.240000,12.000000,99,8.470000,188.200000,362-5889,HI,0,no
74,50,415,False.,1,90,26.710000,157.100000,72,18.980000,223.300000,no,2,1.650000,6.100000,111,8.160000,181.400000,350-8921,MN,0,no
75,82,415,True.,0,109,51.050000,300.300000,100,15.390000,181.000000,no,4,3.160000,11.700000,73,12.150000,270.100000,374-5353,DC,0,no
76,144,408,True.,4,117,10.470000,61.600000,85,6.550000,77.100000,no,7,2.210000,8.200000,99,7.790000,173.000000,360-1171,NY,0,no
77,46,415,False.,2,72,36.400000,214.100000,104,13.970000,164.400000,no,3,2.210000,8.200000,113,7.990000,177.500000,355-8887,MN,0,no
78,70,408,False.,1,98,28.930000,170.200000,102,13.190000,155.200000,no,2,4.050000,15.000000,76,10.290000,228.600000,333-1967,MD,0,no
79,144,415,False.,1,99,34.190000,201.100000,74,25.800000,303.500000,no,2,3.560000,13.200000,119,10.080000,224.000000,354-4577,WV,0,no
80,116,415,False.,3,104,36.620000,215.400000,79,17.410000,204.800000,yes,5,3.400000,12.600000,109,12.530000,278.500000,331-7425,OR,0,no
81,55,408,False.,3,123,28.150000,165.600000,95,11.570000,136.100000,no,2,2.970000,11.000000,90,7.910000,175.700000,419-2637,CO,25,yes
82,70,415,False.,1,101,42.420000,249.500000,98,22.070000,259.700000,no,4,2.650000,9.800000,68,10.020000,222.700000,411-1530,GA,24,yes
83,106,510,True.,2,96,35.800000,210.600000,85,21.180000,249.200000,no,1,3.350000,12.400000,88,8.610000,191.400000,395-3026,TX,0,no
84,128,510,False.,0,104,30.480000,179.300000,86,19.200000,225.900000,no,7,2.320000,8.600000,78,14.540000,323.000000,388-6441,VT,29,yes
85,94,408,True.,4,105,26.840000,157.900000,101,13.180000,155.000000,no,5,2.160000,8.000000,84,8.530000,189.600000,402-1251,IN,0,no
86,111,510,False.,1,118,36.430000,214.300000,76,17.720000,208.500000,no,2,3.240000,12.000000,98,8.210000,182.400000,412-9997,WV,0,no
87,74,415,False.,2,104,26.200000,154.100000,84,10.490000,123.400000,no,9,2.940000,10.900000,57,9.090000,202.100000,346-7302,KY,35,yes
88,128,415,True.,1,125,40.440000,237.900000,93,21.050000,247.600000,no,4,3.750000,13.900000,68,9.400000,208.900000,358-9095,NJ,0,no
89,82,510,False.,1,61,24.460000,143.900000,105,16.570000,194.900000,no,2,3.000000,11.100000,94,4.930000,109.600000,400-9770,DC,0,no
90,155,415,True.,0,100,34.580000,203.400000,104,16.230000,190.900000,no,4,2.400000,8.900000,119,8.820000,196.000000,334-1275,LA,0,no
91,80,415,False.,1,100,21.130000,124.300000,107,14.710000,173.000000,no,9,2.130000,7.900000,62,11.390000,253.200000,340-4953,AR,0,no
92,78,415,False.,3,93,42.990000,252.900000,112,15.160000,178.400000,no,7,2.570000,9.500000,105,11.880000,263.900000,400-9510,ME,0,no
93,90,415,False.,3,71,30.450000,179.100000,81,16.200000,190.600000,no,7,2.860000,10.600000,91,5.750000,127.700000,387-6103,AZ,0,no
94,104,408,False.,1,106,47.330000,278.400000,113,6.890000,81.000000,no,5,2.650000,9.800000,137,7.340000,163.200000,366-4467,AK,0,no
95,73,415,False.,0,110,27.220000,160.100000,72,18.130000,213.300000,no,4,3.510000,13.000000,72,7.830000,174.100000,370-3450,MT,0,no
96,99,415,False.,4,87,33.690000,198.200000,76,17.620000,207.300000,no,3,2.350000,8.700000,113,8.590000,190.900000,327-3954,AZ,0,no
97,120,408,True.,1,131,36.060000,212.100000,104,17.800000,209.400000,no,5,1.430000,5.300000,96,7.520000,167.200000,355-6291,MS,0,no
98,77,415,True.,2,72,42.810000,251.800000,126,17.480000,205.700000,no,7,2.650000,9.800000,109,12.380000,275.200000,362-9748,ID,0,no
99,98,510,False.,4,114,27.400000,161.200000,83,21.440000,252.200000,no,8,1.190000,4.400000,92,7.210000,160.200000,379-6506,IA,21,yes
100,108,415,False.,0,137,30.310000,178.300000,76,16.070000,189.000000,no,5,3.940000,14.600000,102,5.810000,129.100000,347-7741,MA,0,no
101,135,415,False.,0,82,25.790000,151.700000,105,10.120000,119.000000,no,6,2.840000,10.500000,100,8.100000,180.000000,354-3783,VT,0,no
102,95,408,False.,1,99,22.950000,135.000000,106,15.610000,183.600000,no,9,3.380000,12.500000,102,11.040000,245.300000,401-7594,KY,0,no
103,122,408,False.,1,94,28.990000,170.500000,109,14.760000,173.700000,no,2,3.050000,11.300000,75,11.190000,248.600000,397-4976,IN,0,no
104,95,408,False.,4,65,40.480000,238.100000,98,15.910000,187.200000,no,4,3.190000,11.800000,115,8.550000,190.000000,334-2577,AZ,0,no
105,36,510,False.,2,102,47.840000,281.400000,76,17.190000,202.200000,no,6,2.430000,9.000000,113,8.420000,187.200000,400-3637,MI,29,yes
106,93,510,False.,1,131,20.040000,117.900000,115,13.980000,164.500000,no,3,2.650000,9.800000,86,9.760000,217.000000,383-4361,NM,21,yes
107,141,415,False.,1,91,25.260000,148.600000,97,11.140000,131.100000,no,1,2.730000,10.100000,142,9.870000,219.400000,371-4306,CO,32,yes
108,157,408,False.,3,90,39.070000,229.800000,121,12.570000,147.900000,no,7,2.590000,9.600000,108,10.860000,241.400000,403-4298,UT,0,no
109,120,408,False.,1,100,28.050000,165.000000,83,26.960000,317.200000,no,8,2.240000,8.300000,86,5.360000,119.200000,409-3786,MI,0,no
110,103,415,False.,2,117,31.450000,185.000000,94,18.980000,223.300000,no,2,3.400000,12.600000,91,10.030000,222.800000,337-4697,MA,0,no
111,98,408,False.,4,117,27.370000,161.000000,113,16.230000,190.900000,no,4,3.270000,12.100000,113,10.250000,227.700000,383-1509,AL,0,no
112,125,408,False.,1,108,21.540000,126.700000,90,17.510000,206.000000,no,7,3.590000,13.300000,114,11.150000,247.800000,359-9794,DE,0,no
113,63,415,False.,1,125,10.010000,58.900000,59,14.420000,169.600000,no,3,2.540000,9.400000,88,9.510000,211.400000,407-7035,AZ,0,no
114,36,510,True.,0,89,33.460000,196.800000,122,21.670000,254.900000,yes,6,5.400000,20.000000,126,6.220000,138.300000,363-1069,ME,42,yes
115,64,510,False.,1,83,27.640000,162.600000,109,12.950000,152.300000,no,3,3.830000,14.200000,122,2.590000,57.500000,391-4652,NJ,0,no
116,74,415,True.,1,114,48.030000,282.500000,48,18.690000,219.900000,no,4,2.540000,9.400000,115,7.650000,170.000000,355-6837,NV,0,no
117,112,510,False.,2,117,19.330000,113.700000,82,13.390000,157.500000,no,3,2.700000,10.000000,118,7.990000,177.600000,409-1244,MO,36,yes
118,97,408,False.,2,125,40.770000,239.800000,111,18.260000,214.800000,no,5,2.350000,8.700000,81,6.450000,143.300000,328-3266,ID,0,no
119,46,408,False.,1,92,35.730000,210.200000,77,19.320000,227.300000,no,7,3.540000,13.100000,116,9.000000,200.100000,352-7072,NE,0,no
120,41,408,False.,0,102,36.350000,213.800000,86,12.050000,141.800000,no,3,1.940000,7.200000,123,6.400000,142.200000,370-7550,TX,22,yes
121,121,510,False.,3,103,32.420000,190.700000,117,15.600000,183.500000,no,4,2.650000,9.800000,103,9.940000,220.800000,369-5526,MD,0,no
122,193,415,False.,1,124,29.050000,170.900000,95,11.250000,132.300000,no,3,3.130000,11.600000,89,5.080000,112.900000,329-4391,MS,0,no
123,130,510,False.,2,119,26.210000,154.200000,98,9.370000,110.200000,no,5,2.480000,9.200000,117,10.230000,227.400000,408-4195,NV,0,no
124,85,408,False.,1,52,34.240000,201.400000,104,19.500000,229.400000,no,3,3.240000,12.000000,106,11.360000,252.500000,354-4445,AZ,0,no
125,162,415,True.,4,108,12.020000,70.700000,87,13.390000,157.500000,no,3,2.460000,9.100000,82,6.970000,154.800000,335-4858,MS,0,no
126,61,510,True.,4,124,31.880000,187.500000,103,12.460000,146.600000,no,6,1.730000,6.400000,129,10.160000,225.700000,414-8718,MS,27,yes
127,92,408,False.,2,90,15.590000,91.700000,123,16.460000,193.700000,no,4,2.480000,9.200000,86,7.880000,175.000000,409-5939,TX,0,no
128,131,408,False.,3,115,36.410000,214.200000,117,13.740000,161.700000,no,4,2.570000,9.500000,102,11.910000,264.700000,331-4902,NE,36,yes
129,90,415,False.,3,92,24.740000,145.500000,114,18.500000,217.700000,no,2,2.940000,10.900000,123,6.610000,146.900000,353-6870,NE,0,no
130,75,408,False.,1,125,28.270000,166.300000,86,13.450000,158.200000,no,5,1.650000,6.100000,80,11.550000,256.700000,355-2909,CA,0,no
131,78,415,False.,1,115,39.270000,231.000000,140,19.580000,230.400000,no,3,2.570000,9.500000,120,11.760000,261.400000,390-6101,NJ,0,no
132,82,408,False.,4,96,34.050000,200.300000,102,17.100000,201.200000,no,1,1.920000,7.100000,60,9.270000,206.100000,400-3446,TX,0,no
133,163,408,False.,1,109,33.490000,197.000000,128,17.220000,202.600000,no,10,2.460000,9.100000,80,9.290000,206.400000,411-5859,AR,0,no
134,91,510,False.,3,112,22.080000,129.900000,83,14.730000,173.300000,yes,3,3.020000,11.200000,130,11.120000,247.200000,387-2919,AL,0,no
135,75,415,False.,5,97,29.890000,175.800000,106,18.490000,217.500000,no,4,1.430000,5.300000,134,10.690000,237.500000,374-8525,NY,21,yes
136,91,510,False.,3,106,34.530000,203.100000,113,17.860000,210.100000,no,3,3.240000,12.000000,129,8.800000,195.600000,379-5592,FL,0,no
137,127,510,False.,1,117,31.140000,183.200000,76,10.780000,126.800000,no,8,3.020000,11.200000,71,11.850000,263.300000,345-8237,AK,36,yes
138,113,415,False.,2,101,34.850000,205.000000,60,12.920000,152.000000,no,5,2.750000,10.200000,59,7.140000,158.600000,422-6690,NV,23,yes
139,110,510,False.,1,115,25.250000,148.500000,84,23.490000,276.400000,no,3,3.350000,12.400000,112,8.710000,193.600000,346-2359,DE,0,no
140,120,415,False.,0,68,34.050000,200.300000,97,18.730000,220.400000,no,4,2.840000,10.500000,116,11.420000,253.800000,374-3534,MD,39,yes
141,157,415,False.,3,107,32.740000,192.600000,74,16.620000,195.500000,no,5,1.840000,6.800000,139,4.940000,109.700000,381-4756,MI,28,yes
142,103,510,False.,1,47,41.910000,246.500000,84,16.620000,195.500000,no,4,3.160000,11.700000,96,9.020000,200.500000,390-2805,VT,0,no
143,117,408,True.,2,86,28.410000,167.100000,87,15.090000,177.500000,yes,7,3.810000,14.100000,132,11.220000,249.400000,390-2390,VT,0,no
144,140,415,False.,3,101,39.420000,231.900000,94,13.610000,160.100000,no,6,3.860000,14.300000,98,4.970000,110.400000,419-9097,MI,0,no
145,127,408,False.,1,91,24.940000,146.700000,78,17.300000,203.500000,no,3,3.700000,13.700000,110,9.150000,203.400000,386-7281,WA,0,no
146,83,408,False.,1,87,46.160000,271.500000,126,18.390000,216.300000,yes,4,3.160000,11.700000,105,5.450000,121.100000,380-3561,UT,0,no
147,121,408,False.,1,121,30.860000,181.500000,98,18.560000,218.400000,no,5,2.300000,8.500000,103,7.270000,161.600000,390-8760,LA,0,no
148,145,408,False.,2,97,43.810000,257.700000,95,13.780000,162.100000,no,4,3.000000,11.100000,86,12.910000,286.900000,366-6730,RI,43,yes
149,113,408,False.,1,99,32.950000,193.800000,125,18.820000,221.400000,no,6,2.860000,10.600000,67,7.750000,172.300000,395-5285,IA,0,no
150,117,415,False.,1,119,17.480000,102.800000,91,17.570000,206.700000,no,7,2.730000,10.100000,105,13.460000,299.000000,354-3436,NE,0,no
151,65,408,False.,1,116,31.940000,187.900000,117,13.400000,157.600000,no,6,2.030000,7.500000,86,10.230000,227.300000,336-7600,OH,0,no
152,56,415,False.,1,112,38.420000,226.000000,118,21.120000,248.500000,no,11,1.860000,6.900000,142,6.320000,140.500000,383-6293,RI,0,no
153,96,415,False.,5,115,44.270000,260.400000,46,12.410000,146.000000,no,4,3.110000,11.500000,87,12.130000,269.500000,362-4596,OK,0,no
154,151,408,False.,0,116,30.380000,178.700000,138,24.830000,292.100000,no,4,2.650000,9.800000,101,11.970000,265.900000,401-3926,LA,0,no
155,83,415,True.,0,120,57.360000,337.400000,116,19.330000,227.400000,no,7,4.270000,15.800000,114,6.930000,153.900000,370-9116,OH,0,no
156,139,510,False.,0,129,26.790000,157.600000,96,21.000000,247.000000,no,2,3.700000,13.700000,112,11.660000,259.200000,328-6289,VA,23,yes
157,6,510,False.,1,117,31.210000,183.600000,72,21.820000,256.700000,no,2,2.750000,10.200000,79,8.040000,178.600000,350-9994,MO,0,no
158,115,510,False.,1,124,24.160000,142.100000,129,15.590000,183.400000,no,4,2.590000,9.600000,114,7.420000,164.800000,351-4616,FL,24,yes
159,87,415,False.,0,97,23.170000,136.300000,108,14.640000,172.200000,no,5,1.920000,7.100000,101,6.190000,137.500000,360-5779,SC,0,no
160,141,415,False.,0,110,36.910000,217.100000,111,20.530000,241.500000,no,6,3.240000,12.000000,103,11.410000,253.500000,417-4885,VA,0,no
161,141,510,False.,3,99,31.880000,187.500000,116,20.520000,241.400000,no,5,2.840000,10.500000,105,10.330000,229.500000,406-4710,IA,36,yes
162,62,415,False.,1,103,16.810000,98.900000,122,11.510000,135.400000,no,1,3.290000,12.200000,82,10.650000,236.600000,409-8743,MI,0,no
163,146,415,False.,1,151,35.070000,206.300000,89,12.630000,148.600000,no,3,1.650000,6.100000,91,7.520000,167.200000,335-4584,OK,0,no
164,92,415,False.,2,92,41.330000,243.100000,92,18.170000,213.800000,no,2,3.270000,12.100000,104,10.290000,228.700000,361-9845,DE,33,yes
165,185,510,False.,1,126,32.270000,189.800000,133,13.880000,163.300000,no,3,2.030000,7.500000,126,11.920000,264.800000,366-5699,GA,31,yes
166,148,415,False.,1,102,34.340000,202.000000,128,20.670000,243.200000,no,3,2.940000,10.900000,90,11.760000,261.300000,329-9364,DC,0,no
167,94,408,False.,1,124,28.920000,170.100000,116,16.430000,193.300000,no,4,3.460000,12.800000,73,4.770000,105.900000,390-7434,AZ,38,yes
168,32,510,False.,0,87,39.250000,230.900000,90,15.930000,187.400000,no,2,1.700000,6.300000,53,6.930000,154.000000,404-9680,AL,0,no
169,68,408,False.,1,105,40.310000,237.100000,105,19.000000,223.500000,no,2,3.560000,13.200000,79,4.380000,97.400000,338-9398,CO,0,no
170,64,408,False.,2,91,30.960000,182.100000,98,14.420000,169.700000,no,5,2.860000,10.600000,86,7.410000,164.700000,394-2445,NH,27,yes
171,25,415,False.,3,87,20.280000,119.300000,101,17.980000,211.500000,no,4,2.840000,10.500000,86,12.100000,268.900000,381-2709,NM,0,no
172,65,415,False.,1,87,19.860000,116.800000,93,15.210000,178.900000,no,2,3.810000,14.100000,150,8.210000,182.400000,397-5060,OR,0,no
173,179,408,False.,0,92,37.260000,219.200000,125,12.700000,149.400000,no,5,1.650000,6.100000,104,11.010000,244.700000,415-2393,LA,0,no
174,94,415,False.,2,104,42.940000,252.600000,125,14.370000,169.000000,no,7,3.000000,11.100000,106,7.690000,170.900000,377-1765,NE,0,no
175,62,415,False.,0,91,25.010000,147.100000,107,16.180000,190.400000,no,3,3.290000,12.200000,115,8.780000,195.200000,409-2111,MN,0,no
176,127,415,False.,2,103,34.360000,202.100000,86,19.500000,229.400000,no,3,3.110000,11.500000,113,8.780000,195.200000,401-3170,MI,0,no
177,116,408,False.,3,93,29.500000,173.500000,76,16.500000,194.100000,no,10,4.370000,16.200000,112,9.360000,208.000000,405-5681,AR,0,no
178,70,408,False.,3,122,39.460000,232.100000,112,24.850000,292.300000,no,0,0.000000,0.000000,112,9.050000,201.200000,411-4582,KS,0,no
179,94,510,False.,4,125,33.510000,197.100000,136,18.230000,214.500000,yes,5,2.570000,9.500000,103,12.700000,282.200000,355-5009,WV,23,yes
180,126,415,True.,5,94,9.890000,58.200000,118,11.790000,138.700000,no,1,3.210000,11.900000,91,6.160000,136.800000,372-3750,AK,0,no
181,67,408,False.,2,111,19.650000,115.600000,94,20.200000,237.700000,no,12,2.670000,9.900000,103,7.650000,169.900000,405-2888,NY,36,yes
182,19,408,False.,2,98,31.640000,186.100000,57,21.620000,254.300000,no,7,3.940000,14.600000,127,9.630000,214.000000,361-3337,NH,0,no
183,170,510,False.,3,68,44.180000,259.900000,122,20.830000,245.000000,yes,3,2.270000,8.400000,121,6.050000,134.400000,350-1639,VA,0,no
184,73,415,False.,1,145,36.430000,214.300000,135,22.820000,268.500000,no,13,2.920000,10.800000,92,10.850000,241.200000,333-3221,NM,0,no
185,106,408,False.,1,74,26.980000,158.700000,139,5.470000,64.300000,no,4,2.750000,10.200000,103,8.930000,198.500000,422-1471,NY,0,no
186,93,415,False.,2,71,46.170000,271.600000,108,19.500000,229.400000,no,3,2.940000,10.900000,121,3.480000,77.300000,399-7865,AZ,0,no
